Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
EPL_2008,13/12/08,20,16,2.0,2.0,1.0,22.0,9.0,10.0,3.0,8.0,4.0,3.0,3.0,0.0,0.0
EPL_2008,13/12/08,22,13,0.0,1.0,2.0,7.0,11.0,4.0,4.0,5.0,7.0,0.0,1.0,0.0,0.0
EPL_2008,13/12/08,24,0,1.0,1.0,1.0,8.0,17.0,3.0,11.0,5.0,10.0,0.0,1.0,0.0,0.0
EPL_2008,13/12/08,33,14,0.0,0.0,1.0,6.0,9.0,2.0,6.0,5.0,6.0,1.0,1.0,0.0,0.0
EPL_2008,13/12/08,34,38,4.0,0.0,0.0,16.0,14.0,10.0,6.0,1.0,11.0,1.0,2.0,0.0,0.0
EPL_2008,13/12/08,36,23,0.0,0.0,1.0,11.0,15.0,6.0,12.0,4.0,14.0,1.0,1.0,0.0,0.0
EPL_2008,13/12/08,40,3,3.0,0.0,0.0,10.0,11.0,5.0,4.0,6.0,9.0,1.0,1.0,0.0,0.0
EPL_2008,14/12/08,11,39,1.0,1.0,1.0,19.0,4.0,12.0,2.0,9.0,4.0,3.0,2.0,0.0,0.0
EPL_2008,14/12/08,28,25,0.0,3.0,2.0,18.0,10.0,6.0,5.0,8.0,5.0,4.0,1.0,0.0,0.0
EPL_2008,20/12/08,3,33,3.0,0.0,0.0,10.0,14.0,9.0,4.0,3.0,7.0,0.0,2.0,0.0,0.0
EPL_2008,20/12/08,5,28,2.0,1.0,0.0,19.0,8.0,10.0,5.0,6.0,3.0,1.0,1.0,0.0,0.0
EPL_2008,20/12/08,14,24,3.0,0.0,0.0,19.0,12.0,13.0,5.0,6.0,4.0,0.0,2.0,0.0,0.0
EPL_2008,20/12/08,16,34,1.0,4.0,2.0,14.0,15.0,8.0,6.0,6.0,6.0,3.0,1.0,1.0,0.0
EPL_2008,20/12/08,39,1,0.0,1.0,2.0,17.0,10.0,13.0,4.0,7.0,6.0,2.0,1.0,0.0,0.0
EPL_2008,21/12/08,0,20,1.0,1.0,1.0,6.0,10.0,3.0,6.0,2.0,1.0,3.0,3.0,1.0,0.0
EPL_2008,21/12/08,25,36,2.0,1.0,0.0,7.0,11.0,4.0,6.0,4.0,7.0,3.0,2.0,0.0,0.0
EPL_2008,21/12/08,38,22,2.0,1.0,0.0,12.0,11.0,7.0,7.0,5.0,7.0,2.0,1.0,0.0,0.0
EPL_2008,22/12/08,13,11,0.0,0.0,1.0,10.0,6.0,8.0,2.0,6.0,5.0,0.0,3.0,0.0,1.0
EPL_2008,26/12/08,1,0,2.0,2.0,1.0,13.0,8.0,9.0,6.0,7.0,6.0,4.0,4.0,0.0,0.0
